,Event,Person
0,"Открытый лекторий ""Фундаментальный маркетинг: продвижение без бюджета""",татьяна спурнова
0,«Kubernetes для начинающих: разворачиваем кластер за час»,павел селиванов
0,Aitarget meetup #8 Horror business stories,дмитрий мирошеченко
0,NX QA Meetup #10,василий петухов
0,NX QA Meetup #10,максим коршунов
0,Встреча YC Startup School,грэм пол
0,Встреча YC Startup School,сэм альтман
0,Ekb Tech Talks #3 по Data Science,николай пермяков
0,Ekb Tech Talks #3 по Data Science,тимофей ефимов
0,Ekb Tech Talks #3 по Data Science,михаил хрущев
0,Атомик дизайн-митап,житьалександр катин
0,"Бизнес-завтрак ""Сайт как основной продавец""",светлана свиточева
0,ML REPA Meetup #4: Towards fully automated training pipelines in Machine Learning,пётр ермаков
0,ML REPA Meetup #4: Towards fully automated training pipelines in Machine Learning,артём селезнев
0,ML REPA Meetup #4: Towards fully automated training pipelines in Machine Learning,михаил рожков
0,"Лекция ""Java прокачка""",дмитрий ржевский
0,Мастер-классы от ведущих инженеров Тензора,роман новожилов
0,Мастер-классы от ведущих инженеров Тензора,николай виноградов
0,Мастер-классы от ведущих инженеров Тензора,иван шадричев
0,Мастер-классы от ведущих инженеров Тензора,вадим чичерин
